2.534849941730499268e-02,-1.815742254257202148e-02,7.828895449638366699e-01,9.997558593750000000e-01,9.004884399473667145e-03,-1.995573937892913818e-02,3.860462456941604614e-03,9.298799186944961548e-02,7.869693636894226074e-02,2.431378960609436035e-01,2.006872743368148804e-01,-2.465077191591262817e-01,-7.488603889942169189e-02,1.632519960403442383e-01,-1.777117848396301270e-01,-3.964799642562866211e-01,1.206871122121810913e-01,-2.238107174634933472e-01,1.660615354776382446e-01,-2.485321648418903351e-02,-1.503242272883653641e-02,1.900560557842254639e-01,-2.652934752404689789e-02,2.395660728216171265e-01,-6.233320832252502441e-01,1.120043516159057617e+00,2.497763484716415405e-01,-6.705252081155776978e-02,1.710616201162338257e-01,-1.093872860074043274e-01,-2.599603533744812012e-01,7.122221589088439941e-01,1.128651142120361328e+00,-2.274790406227111816e-01,-4.029709845781326294e-02,-7.930354773998260498e-02
2.772523835301399231e-02,-1.450332347303628922e-02,7.823603153228759766e-01,9.998168945312500000e-01,9.462181478738784790e-03,-1.768054440617561340e-02,4.254166502505540848e-03,8.858706057071685791e-02,7.270445674657821655e-02,2.492469549179077148e-01,2.043649554252624512e-01,-2.564374208450317383e-01,-7.018212974071502686e-02,1.609687805175781250e-01,-1.868001073598861694e-01,-3.980679810047149658e-01,1.263847351074218750e-01,-2.275821864604949951e-01,1.754285246133804321e-01,-2.173928916454315186e-02,-1.162628829479217529e-02,1.866910010576248169e-01,-2.197607234120368958e-02,2.371961325407028198e-01,-6.155972480773925781e-01,1.110297799110412598e+00,2.544149458408355713e-01,-6.589038670063018799e-02,1.681745648384094238e-01,-1.085902005434036255e-01,-2.653737962245941162e-01,7.023888230323791504e-01,1.131404876708984375e+00,-2.177665680646896362e-01,-4.082497954368591309e-02,-7.900309562683105469e-02
3.185801208019256592e-02,-1.026418060064315796e-02,7.814894914627075195e-01,9.998168945312500000e-01,1.035116892307996750e-02,-1.537604536861181259e-02,5.171769298613071442e-03,8.705227077007293701e-02,6.360957026481628418e-02,2.527927756309509277e-01,2.048253118991851807e-01,-2.645685672760009766e-01,-6.500110030174255371e-02,1.542210131883621216e-01,-2.007653713226318359e-01,-3.994427323341369629e-01,1.431648135185241699e-01,-2.346822321414947510e-01,1.826841831207275391e-01,-2.058916352689266205e-02,-8.703399449586868286e-03,1.831910759210586548e-01,-1.581845246255397797e-02,2.343744039535522461e-01,-6.056332588195800781e-01,1.100881218910217285e+00,2.600526511669158936e-01,-6.719189137220382690e-02,1.645384132862091064e-01,-1.051921769976615906e-01,-2.704733014106750488e-01,6.882920265197753906e-01,1.135137081146240234e+00,-2.072564512491226196e-01,-4.092677310109138489e-02,-7.807991653680801392e-02
3.511238470673561096e-02,-5.436493549495935440e-03,7.802488207817077637e-01,9.998168945312500000e-01,1.333862356841564178e-02,-1.346453186124563217e-02,6.661680992692708969e-03,9.505354613065719604e-02,4.636435583233833313e-02,2.549245357513427734e-01,1.904066354036331177e-01,-2.668211758136749268e-01,-6.036017090082168579e-02,1.345222145318984985e-01,-2.269365787506103516e-01,-3.953623473644256592e-01,1.957110166549682617e-01,-2.578840255737304688e-01,1.860346347093582153e-01,-1.993888616561889648e-02,-1.187295559793710709e-02,1.804873198270797729e-01,-1.017654594033956528e-02,2.314541339874267578e-01,-5.992626547813415527e-01,1.096807956695556641e+00,2.662220001220703125e-01,-6.709489226341247559e-02,1.603645980358123779e-01,-9.888801723718643188e-02,-2.734854817390441895e-01,6.726768016815185547e-01,1.138177871704101562e+00,-1.976285129785537720e-01,-4.069167748093605042e-02,-7.682450860738754272e-02
3.885263204574584961e-02,-3.458363935351371765e-04,7.786101102828979492e-01,9.996947646141052246e-01,1.893430761992931366e-02,-1.206193957477807999e-02,7.919821888208389282e-03,1.112183555960655212e-01,2.148802764713764191e-02,2.578912079334259033e-01,1.642935276031494141e-01,-2.633697092533111572e-01,-5.724770203232765198e-02,9.145767986774444580e-02,-2.685587108135223389e-01,-3.836316764354705811e-01,2.973176240921020508e-01,-2.959655523300170898e-01,1.812276393175125122e-01,-2.026392705738544464e-02,-2.301113680005073547e-02,1.788260340690612793e-01,-7.660612929612398148e-03,2.295864969491958618e-01,-5.970802903175354004e-01,1.097120046615600586e+00,2.676785290241241455e-01,-6.411158293485641479e-02,1.537918001413345337e-01,-9.130667895078659058e-02,-2.732973992824554443e-01,6.528049111366271973e-01,1.138015151023864746e+00,-1.877841055393218994e-01,-3.707408905029296875e-02,-7.571577280759811401e-02
4.312232881784439087e-02,4.497611895203590393e-03,7.766114473342895508e-01,9.995726943016052246e-01,2.519539743661880493e-02,-1.113986130803823471e-02,8.926391601562500000e-03,1.282452195882797241e-01,-3.876692615449428558e-03,2.584146261215209961e-01,1.387281566858291626e-01,-2.603356242179870605e-01,-5.489148944616317749e-02,2.905949950218200684e-02,-3.140960931777954102e-01,-3.555995821952819824e-01,4.443185925483703613e-01,-3.381412327289581299e-01,1.632986515760421753e-01,-2.132237143814563751e-02,-3.943625465035438538e-02,1.800823211669921875e-01,-7.775278296321630478e-03,2.322367131710052490e-01,-5.974753499031066895e-01,1.102309584617614746e+00,2.661354839801788330e-01,-6.173836812376976013e-02,1.476231366395950317e-01,-7.994335889816284180e-02,-2.705569267272949219e-01,6.322788596153259277e-01,1.131546735763549805e+00,-1.836168169975280762e-01,-3.568046540021896362e-02,-7.349850237369537354e-02
4.828393459320068359e-02,9.609624743461608887e-03,7.752416729927062988e-01,9.994505643844604492e-01,2.904580533504486084e-02,-1.048855111002922058e-02,8.129771798849105835e-03,1.395770758390426636e-01,-2.026039734482765198e-02,2.606918513774871826e-01,1.300812512636184692e-01,-2.644652426242828369e-01,-5.298827588558197021e-02,-5.808793008327484131e-02,-3.551759123802185059e-01,-3.173319995403289795e-01,6.295904517173767090e-01,-3.642181158065795898e-01,1.234726160764694214e-01,-2.621391974389553070e-02,-5.308656767010688782e-02,1.850382983684539795e-01,-8.385111577808856964e-03,2.377844154834747314e-01,-5.988292694091796875e-01,1.106908321380615234e+00,2.664348185062408447e-01,-5.915525183081626892e-02,1.417368352413177490e-01,-7.120881974697113037e-02,-2.659547924995422363e-01,6.107684373855590820e-01,1.120995879173278809e+00,-1.852028220891952515e-01,-3.566740825772285461e-02,-7.112771272659301758e-02
5.398758500814437866e-02,1.353642717003822327e-02,7.739475965499877930e-01,9.994505643844604492e-01,2.953435480594635010e-02,-1.036641374230384827e-02,5.458015948534011841e-03,1.510553807020187378e-01,-2.736615017056465149e-02,2.670575380325317383e-01,1.269723623991012573e-01,-2.708484530448913574e-01,-5.087280645966529846e-02,-1.591537743806838989e-01,-3.812125325202941895e-01,-2.797682285308837891e-01,8.224155306816101074e-01,-3.784770369529724121e-01,5.372007563710212708e-02,-3.178871795535087585e-02,-6.086871400475502014e-02,1.923383921384811401e-01,-9.532781317830085754e-03,2.463793158531188965e-01,-6.021892428398132324e-01,1.111275672912597656e+00,2.637891769409179688e-01,-5.839599296450614929e-02,1.408189982175827026e-01,-6.299203634262084961e-02,-2.600218355655670166e-01,5.921059846878051758e-01,1.110364317893981934e+00,-1.859909296035766602e-01,-3.799684718251228333e-02,-7.145052403211593628e-02
6.203170865774154663e-02,1.759975031018257141e-02,7.727261185646057129e-01,9.996337294578552246e-01,2.687294036149978638e-02,-1.037596259266138077e-02,2.403185702860355377e-03,1.644046008586883545e-01,-2.618396468460559845e-02,2.742471396923065186e-01,1.249928623437881470e-01,-2.790242731571197510e-01,-4.806716740131378174e-02,-2.427152544260025024e-01,-3.722665309906005859e-01,-2.447638511657714844e-01,9.428600072860717773e-01,-3.920397460460662842e-01,1.310184504836797714e-02,-4.046699777245521545e-02,-6.272315233945846558e-02,1.996094435453414917e-01,-7.026690989732742310e-03,2.561985552310943604e-01,-6.043378114700317383e-01,1.117918133735656738e+00,2.618436813354492188e-01,-5.684137344360351562e-02,1.448270082473754883e-01,-5.340101197361946106e-02,-2.541206181049346924e-01,5.750516653060913086e-01,1.106506586074829102e+00,-1.863312274217605591e-01,-4.217379167675971985e-02,-7.082792371511459351e-02
6.990261375904083252e-02,2.060820162296295166e-02,7.719675898551940918e-01,9.997558593750000000e-01,2.113095298409461975e-02,-8.940018713474273682e-03,-1.353594358079135418e-03,1.771826744079589844e-01,-1.798724196851253510e-02,2.814362645149230957e-01,1.254250407218933105e-01,-2.912638187408447266e-01,-4.594014212489128113e-02,-3.081430792808532715e-01,-3.337123095989227295e-01,-2.230514734983444214e-01,9.662644863128662109e-01,-3.849360048770904541e-01,1.500264368951320648e-02,-4.865777119994163513e-02,-5.812962353229522705e-02,2.052880227565765381e-01,-3.143011592328548431e-03,2.652764022350311279e-01,-5.992552042007446289e-01,1.122940301895141602e+00,2.612933218479156494e-01,-5.221622809767723083e-02,1.509870141744613647e-01,-4.343993589282035828e-02,-2.466672360897064209e-01,5.544595122337341309e-01,1.110073566436767578e+00,-1.828623712062835693e-01,-4.636430367827415466e-02,-6.841325014829635620e-02
